[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
### Creating new features  task: 0 ###

New features norm: 3.859
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.5%, forg=  0.0%| TAg acc= 99.5%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.18/alpha=1000
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Total: 11.66, Push: 0.49, Pull: 5.94, Adapter: 0.005, Wd: 0.11
Total: 6.59, Push: 0.57, Pull: 5.04, Adapter: 0.001, Wd: 0.11
Total: 6.58, Push: 0.57, Pull: 5.03, Adapter: 0.001, Wd: 0.11
Total: 6.57, Push: 0.57, Pull: 5.02, Adapter: 0.001, Wd: 0.11
Total: 6.56, Push: 0.57, Pull: 5.01, Adapter: 0.001, Wd: 0.11
Total: 6.56, Push: 0.57, Pull: 5.01, Adapter: 0.001, Wd: 0.11
Total: 6.55, Push: 0.57, Pull: 5.00, Adapter: 0.001, Wd: 0.11
Total: 6.54, Push: 0.57, Pull: 4.99, Adapter: 0.001, Wd: 0.11
Total: 6.53, Push: 0.57, Pull: 4.98, Adapter: 0.001, Wd: 0.11
Total: 6.52, Push: 0.57, Pull: 4.98, Adapter: 0.001, Wd: 0.11
Total: 6.51, Push: 0.58, Pull: 4.97, Adapter: 0.001, Wd: 0.11
Total: 6.51, Push: 0.58, Pull: 4.96, Adapter: 0.001, Wd: 0.11
Total: 6.50, Push: 0.58, Pull: 4.96, Adapter: 0.001, Wd: 0.11
Total: 6.49, Push: 0.58, Pull: 4.95, Adapter: 0.001, Wd: 0.11
Total: 6.48, Push: 0.58, Pull: 4.94, Adapter: 0.001, Wd: 0.11
Total: 6.47, Push: 0.58, Pull: 4.94, Adapter: 0.001, Wd: 0.11
Total: 6.47, Push: 0.58, Pull: 4.93, Adapter: 0.001, Wd: 0.11
Total: 6.46, Push: 0.58, Pull: 4.92, Adapter: 0.001, Wd: 0.11
Total: 6.45, Push: 0.58, Pull: 4.92, Adapter: 0.001, Wd: 0.11
Total: 6.44, Push: 0.58, Pull: 4.91, Adapter: 0.001, Wd: 0.11
Total: 6.44, Push: 0.58, Pull: 4.90, Adapter: 0.001, Wd: 0.11
Total: 6.43, Push: 0.58, Pull: 4.90, Adapter: 0.001, Wd: 0.11
Total: 6.42, Push: 0.58, Pull: 4.89, Adapter: 0.001, Wd: 0.11
Total: 6.41, Push: 0.59, Pull: 4.88, Adapter: 0.001, Wd: 0.11
Total: 6.41, Push: 0.59, Pull: 4.88, Adapter: 0.001, Wd: 0.11
Total: 6.40, Push: 0.59, Pull: 4.87, Adapter: 0.001, Wd: 0.11
Total: 6.39, Push: 0.59, Pull: 4.86, Adapter: 0.001, Wd: 0.11
Total: 6.39, Push: 0.59, Pull: 4.86, Adapter: 0.001, Wd: 0.11
Total: 6.38, Push: 0.59, Pull: 4.85, Adapter: 0.001, Wd: 0.11
Total: 6.37, Push: 0.59, Pull: 4.84, Adapter: 0.001, Wd: 0.11
Total: 6.36, Push: 0.59, Pull: 4.84, Adapter: 0.001, Wd: 0.11
Total: 6.36, Push: 0.59, Pull: 4.83, Adapter: 0.001, Wd: 0.11
Total: 6.35, Push: 0.59, Pull: 4.82, Adapter: 0.001, Wd: 0.11
Total: 6.34, Push: 0.59, Pull: 4.82, Adapter: 0.001, Wd: 0.11
Total: 6.34, Push: 0.59, Pull: 4.81, Adapter: 0.001, Wd: 0.11
Total: 6.33, Push: 0.59, Pull: 4.80, Adapter: 0.001, Wd: 0.11
Total: 6.32, Push: 0.60, Pull: 4.80, Adapter: 0.001, Wd: 0.11
Total: 6.32, Push: 0.60, Pull: 4.79, Adapter: 0.001, Wd: 0.11
Total: 6.31, Push: 0.60, Pull: 4.79, Adapter: 0.001, Wd: 0.11
Total: 6.30, Push: 0.60, Pull: 4.78, Adapter: 0.001, Wd: 0.11
Total: 6.30, Push: 0.60, Pull: 4.77, Adapter: 0.001, Wd: 0.11
Total: 6.29, Push: 0.60, Pull: 4.77, Adapter: 0.001, Wd: 0.11
Total: 6.28, Push: 0.60, Pull: 4.76, Adapter: 0.001, Wd: 0.11
Total: 6.28, Push: 0.60, Pull: 4.75, Adapter: 0.001, Wd: 0.11
Total: 6.27, Push: 0.60, Pull: 4.75, Adapter: 0.001, Wd: 0.11
Total: 6.26, Push: 0.60, Pull: 4.74, Adapter: 0.001, Wd: 0.11
Total: 6.26, Push: 0.60, Pull: 4.74, Adapter: 0.001, Wd: 0.11
Total: 6.25, Push: 0.60, Pull: 4.73, Adapter: 0.001, Wd: 0.11
Total: 6.25, Push: 0.60, Pull: 4.72, Adapter: 0.001, Wd: 0.11
Total: 6.24, Push: 0.61, Pull: 4.72, Adapter: 0.001, Wd: 0.11
Total: 6.23, Push: 0.61, Pull: 4.71, Adapter: 0.001, Wd: 0.11
Total: 6.23, Push: 0.61, Pull: 4.71, Adapter: 0.001, Wd: 0.11
Total: 6.22, Push: 0.61, Pull: 4.70, Adapter: 0.001, Wd: 0.11
Total: 6.21, Push: 0.61, Pull: 4.69, Adapter: 0.001, Wd: 0.11
Total: 6.21, Push: 0.61, Pull: 4.69, Adapter: 0.001, Wd: 0.11
Total: 6.20, Push: 0.61, Pull: 4.68, Adapter: 0.001, Wd: 0.11
Total: 6.20, Push: 0.61, Pull: 4.68, Adapter: 0.001, Wd: 0.11
Total: 6.19, Push: 0.61, Pull: 4.67, Adapter: 0.001, Wd: 0.11
Total: 6.18, Push: 0.61, Pull: 4.66, Adapter: 0.001, Wd: 0.11
Total: 6.18, Push: 0.61, Pull: 4.66, Adapter: 0.001, Wd: 0.11
Total: 6.17, Push: 0.61, Pull: 4.65, Adapter: 0.001, Wd: 0.11
Total: 6.17, Push: 0.62, Pull: 4.65, Adapter: 0.001, Wd: 0.11
Total: 6.16, Push: 0.62, Pull: 4.64, Adapter: 0.001, Wd: 0.11
Total: 6.15, Push: 0.62, Pull: 4.64, Adapter: 0.001, Wd: 0.11
Total: 6.15, Push: 0.62, Pull: 4.63, Adapter: 0.001, Wd: 0.11
Total: 6.14, Push: 0.62, Pull: 4.62, Adapter: 0.001, Wd: 0.11
Total: 6.14, Push: 0.62, Pull: 4.62, Adapter: 0.001, Wd: 0.11
Total: 6.13, Push: 0.62, Pull: 4.61, Adapter: 0.001, Wd: 0.11
Total: 6.13, Push: 0.62, Pull: 4.61, Adapter: 0.001, Wd: 0.11
Total: 6.12, Push: 0.62, Pull: 4.60, Adapter: 0.001, Wd: 0.11
Total: 6.11, Push: 0.62, Pull: 4.60, Adapter: 0.001, Wd: 0.11
Total: 6.11, Push: 0.62, Pull: 4.59, Adapter: 0.001, Wd: 0.11
Total: 6.10, Push: 0.62, Pull: 4.59, Adapter: 0.001, Wd: 0.11
Total: 6.10, Push: 0.62, Pull: 4.58, Adapter: 0.001, Wd: 0.11
Total: 6.09, Push: 0.63, Pull: 4.57, Adapter: 0.001, Wd: 0.11
Total: 6.09, Push: 0.63, Pull: 4.57, Adapter: 0.001, Wd: 0.11
Total: 6.08, Push: 0.63, Pull: 4.56, Adapter: 0.001, Wd: 0.11
Total: 6.08, Push: 0.63, Pull: 4.56, Adapter: 0.001, Wd: 0.11
Total: 6.07, Push: 0.63, Pull: 4.55, Adapter: 0.001, Wd: 0.11
Total: 6.07, Push: 0.63, Pull: 4.55, Adapter: 0.001, Wd: 0.11
Total: 6.06, Push: 0.63, Pull: 4.54, Adapter: 0.001, Wd: 0.11
Total: 6.05, Push: 0.63, Pull: 4.54, Adapter: 0.001, Wd: 0.11
Total: 6.05, Push: 0.63, Pull: 4.53, Adapter: 0.001, Wd: 0.11
Total: 6.04, Push: 0.63, Pull: 4.53, Adapter: 0.001, Wd: 0.11
Total: 6.04, Push: 0.63, Pull: 4.52, Adapter: 0.001, Wd: 0.11
Total: 6.03, Push: 0.63, Pull: 4.52, Adapter: 0.001, Wd: 0.11
Total: 6.03, Push: 0.63, Pull: 4.51, Adapter: 0.001, Wd: 0.11
Total: 6.02, Push: 0.64, Pull: 4.51, Adapter: 0.001, Wd: 0.11
Total: 6.02, Push: 0.64, Pull: 4.50, Adapter: 0.001, Wd: 0.11
Total: 6.01, Push: 0.64, Pull: 4.50, Adapter: 0.001, Wd: 0.11
Total: 6.01, Push: 0.64, Pull: 4.49, Adapter: 0.001, Wd: 0.11
Total: 6.00, Push: 0.64, Pull: 4.48, Adapter: 0.001, Wd: 0.11
Total: 6.00, Push: 0.64, Pull: 4.48, Adapter: 0.001, Wd: 0.11
Total: 5.99, Push: 0.64, Pull: 4.47, Adapter: 0.001, Wd: 0.11
Total: 5.99, Push: 0.64, Pull: 4.47, Adapter: 0.001, Wd: 0.11
Total: 5.98, Push: 0.64, Pull: 4.46, Adapter: 0.001, Wd: 0.11
Total: 5.98, Push: 0.64, Pull: 4.46, Adapter: 0.001, Wd: 0.11
Total: 5.97, Push: 0.64, Pull: 4.45, Adapter: 0.001, Wd: 0.11
Total: 5.97, Push: 0.64, Pull: 4.45, Adapter: 0.001, Wd: 0.11
Total: 5.96, Push: 0.64, Pull: 4.44, Adapter: 0.001, Wd: 0.11
Total: 5.96, Push: 0.64, Pull: 4.44, Adapter: 0.001, Wd: 0.11
Total: 5.95, Push: 0.65, Pull: 4.43, Adapter: 0.001, Wd: 0.11
Total: 5.95, Push: 0.65, Pull: 4.43, Adapter: 0.001, Wd: 0.11
Total: 5.94, Push: 0.65, Pull: 4.42, Adapter: 0.001, Wd: 0.11
Total: 5.94, Push: 0.65, Pull: 4.42, Adapter: 0.001, Wd: 0.11
Total: 5.93, Push: 0.65, Pull: 4.41, Adapter: 0.001, Wd: 0.11
Total: 5.93, Push: 0.65, Pull: 4.41, Adapter: 0.001, Wd: 0.11
Total: 5.92, Push: 0.65, Pull: 4.40, Adapter: 0.001, Wd: 0.11
Total: 5.92, Push: 0.65, Pull: 4.40, Adapter: 0.001, Wd: 0.11
Total: 5.91, Push: 0.65, Pull: 4.39, Adapter: 0.001, Wd: 0.11
Total: 5.91, Push: 0.65, Pull: 4.39, Adapter: 0.001, Wd: 0.11
Total: 5.90, Push: 0.65, Pull: 4.38, Adapter: 0.001, Wd: 0.11
Total: 5.90, Push: 0.65, Pull: 4.38, Adapter: 0.001, Wd: 0.11
Total: 5.89, Push: 0.65, Pull: 4.37, Adapter: 0.001, Wd: 0.11
Total: 5.89, Push: 0.66, Pull: 4.37, Adapter: 0.001, Wd: 0.11
Total: 5.88, Push: 0.66, Pull: 4.36, Adapter: 0.001, Wd: 0.11
Total: 5.88, Push: 0.66, Pull: 4.36, Adapter: 0.001, Wd: 0.11
Total: 5.88, Push: 0.66, Pull: 4.35, Adapter: 0.001, Wd: 0.11
Total: 5.87, Push: 0.66, Pull: 4.35, Adapter: 0.001, Wd: 0.11
Total: 5.87, Push: 0.66, Pull: 4.34, Adapter: 0.001, Wd: 0.11
Total: 5.86, Push: 0.66, Pull: 4.34, Adapter: 0.001, Wd: 0.11
Total: 5.86, Push: 0.66, Pull: 4.33, Adapter: 0.001, Wd: 0.11
Variances: tensor([9.1143e-05, 1.7035e-04, 1.5293e-04, 2.5818e-03], device='cuda:0')
### Adapting features task: 1 ###
Features norm before adaptation: 3.859
Features norm after adaptation: 2.784
### Creating new features  task: 1 ###

New features norm: 1.542
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 89.1%, forg= 10.5% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.6%, forg= -0.1%| TAg acc= 88.8%, forg= 10.6% <<<
Save at ../results/mnist_evo_02.18/alpha=1000
>>> Train on task  1 : loss=0.000 | TAw acc= 95.7%, forg=  0.0%| TAg acc= 87.4%, forg=  0.0% <<<
>>> Test on task  1 : loss=0.000 | TAw acc= 95.6%, forg=  0.0%| TAg acc= 86.3%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.18/alpha=1000
************************************************************************************************************
Task  2
************************************************************************************************************
### Training model task: 2 ###
Total: 8.70, Push: 1.34, Pull: 3.31, Adapter: 0.004, Wd: 0.12
Total: 7.71, Push: 1.34, Pull: 3.31, Adapter: 0.003, Wd: 0.12
Total: 7.30, Push: 1.33, Pull: 3.31, Adapter: 0.003, Wd: 0.12
Total: 7.05, Push: 1.33, Pull: 3.32, Adapter: 0.002, Wd: 0.12
Total: 6.86, Push: 1.34, Pull: 3.31, Adapter: 0.002, Wd: 0.12
Total: 6.71, Push: 1.34, Pull: 3.30, Adapter: 0.002, Wd: 0.12
Total: 6.60, Push: 1.34, Pull: 3.29, Adapter: 0.002, Wd: 0.12
Total: 6.51, Push: 1.34, Pull: 3.29, Adapter: 0.002, Wd: 0.12
Total: 6.43, Push: 1.34, Pull: 3.28, Adapter: 0.002, Wd: 0.12
Total: 6.36, Push: 1.34, Pull: 3.28, Adapter: 0.002, Wd: 0.12
Total: 6.30, Push: 1.34, Pull: 3.28, Adapter: 0.002, Wd: 0.12
Total: 6.25, Push: 1.34, Pull: 3.27, Adapter: 0.002, Wd: 0.12
Total: 6.21, Push: 1.34, Pull: 3.27, Adapter: 0.001, Wd: 0.12
Total: 6.16, Push: 1.35, Pull: 3.26, Adapter: 0.001, Wd: 0.12
Total: 6.13, Push: 1.35, Pull: 3.26, Adapter: 0.001, Wd: 0.12
Total: 6.09, Push: 1.35, Pull: 3.25, Adapter: 0.001, Wd: 0.12
Total: 6.06, Push: 1.35, Pull: 3.25, Adapter: 0.001, Wd: 0.12
Total: 6.04, Push: 1.35, Pull: 3.25, Adapter: 0.001, Wd: 0.12
Total: 6.01, Push: 1.35, Pull: 3.24, Adapter: 0.001, Wd: 0.12
Total: 5.99, Push: 1.35, Pull: 3.24, Adapter: 0.001, Wd: 0.12
Total: 5.97, Push: 1.35, Pull: 3.24, Adapter: 0.001, Wd: 0.12
Total: 5.95, Push: 1.35, Pull: 3.23, Adapter: 0.001, Wd: 0.12
Total: 5.93, Push: 1.35, Pull: 3.23, Adapter: 0.001, Wd: 0.12
Total: 5.91, Push: 1.36, Pull: 3.23, Adapter: 0.001, Wd: 0.12
Total: 5.89, Push: 1.36, Pull: 3.23, Adapter: 0.001, Wd: 0.12
Total: 5.87, Push: 1.36, Pull: 3.22, Adapter: 0.001, Wd: 0.12
Total: 5.86, Push: 1.36, Pull: 3.22, Adapter: 0.001, Wd: 0.12
Total: 5.84, Push: 1.36, Pull: 3.22, Adapter: 0.001, Wd: 0.12
Total: 5.83, Push: 1.36, Pull: 3.22, Adapter: 0.001, Wd: 0.12
Total: 5.81, Push: 1.36, Pull: 3.21, Adapter: 0.001, Wd: 0.12
Total: 5.80, Push: 1.36, Pull: 3.21, Adapter: 0.001, Wd: 0.12
Total: 5.79, Push: 1.36, Pull: 3.21, Adapter: 0.001, Wd: 0.12
Total: 5.77, Push: 1.36, Pull: 3.20, Adapter: 0.001, Wd: 0.12
Total: 5.76, Push: 1.36, Pull: 3.20, Adapter: 0.001, Wd: 0.12
Total: 5.75, Push: 1.37, Pull: 3.20, Adapter: 0.001, Wd: 0.12
Total: 5.74, Push: 1.37, Pull: 3.20, Adapter: 0.001, Wd: 0.12
Total: 5.73, Push: 1.37, Pull: 3.19, Adapter: 0.001, Wd: 0.12
Total: 5.71, Push: 1.37, Pull: 3.19, Adapter: 0.001, Wd: 0.12
Total: 5.70, Push: 1.37, Pull: 3.19, Adapter: 0.001, Wd: 0.12
Total: 5.69, Push: 1.37, Pull: 3.18, Adapter: 0.001, Wd: 0.12
Total: 5.68, Push: 1.37, Pull: 3.18, Adapter: 0.001, Wd: 0.12
Total: 5.67, Push: 1.37, Pull: 3.18, Adapter: 0.001, Wd: 0.12
Total: 5.67, Push: 1.37, Pull: 3.18, Adapter: 0.001, Wd: 0.12
Total: 5.66, Push: 1.37, Pull: 3.18, Adapter: 0.001, Wd: 0.12
Total: 5.65, Push: 1.37, Pull: 3.17, Adapter: 0.001, Wd: 0.12
Total: 5.64, Push: 1.37, Pull: 3.17, Adapter: 0.001, Wd: 0.12
Total: 5.63, Push: 1.38, Pull: 3.17, Adapter: 0.001, Wd: 0.12
Total: 5.62, Push: 1.38, Pull: 3.16, Adapter: 0.001, Wd: 0.12
Total: 5.61, Push: 1.38, Pull: 3.16, Adapter: 0.001, Wd: 0.12
Total: 5.60, Push: 1.38, Pull: 3.16, Adapter: 0.001, Wd: 0.12
Total: 5.60, Push: 1.38, Pull: 3.16, Adapter: 0.001, Wd: 0.12
Total: 5.59, Push: 1.38, Pull: 3.15, Adapter: 0.001, Wd: 0.12
Total: 5.58, Push: 1.38, Pull: 3.15, Adapter: 0.001, Wd: 0.12
Total: 5.58, Push: 1.38, Pull: 3.15, Adapter: 0.001, Wd: 0.12
Total: 5.57, Push: 1.38, Pull: 3.15, Adapter: 0.001, Wd: 0.12
Total: 5.56, Push: 1.38, Pull: 3.14, Adapter: 0.001, Wd: 0.12
Total: 5.55, Push: 1.39, Pull: 3.14, Adapter: 0.001, Wd: 0.12
Total: 5.55, Push: 1.39, Pull: 3.14, Adapter: 0.001, Wd: 0.12
Total: 5.54, Push: 1.39, Pull: 3.14, Adapter: 0.001, Wd: 0.12
Total: 5.53, Push: 1.39, Pull: 3.13, Adapter: 0.001, Wd: 0.12
Total: 5.53, Push: 1.39, Pull: 3.13, Adapter: 0.001, Wd: 0.12
Total: 5.52, Push: 1.39, Pull: 3.13, Adapter: 0.001, Wd: 0.12
Total: 5.52, Push: 1.39, Pull: 3.12, Adapter: 0.001, Wd: 0.12
Total: 5.51, Push: 1.39, Pull: 3.12, Adapter: 0.001, Wd: 0.12
Total: 5.50, Push: 1.39, Pull: 3.12, Adapter: 0.001, Wd: 0.12
Total: 5.50, Push: 1.39, Pull: 3.12, Adapter: 0.001, Wd: 0.12
Total: 5.49, Push: 1.39, Pull: 3.11, Adapter: 0.001, Wd: 0.12
Total: 5.49, Push: 1.40, Pull: 3.11, Adapter: 0.001, Wd: 0.12
Total: 5.48, Push: 1.40, Pull: 3.11, Adapter: 0.001, Wd: 0.12
Total: 5.48, Push: 1.40, Pull: 3.11, Adapter: 0.001, Wd: 0.12
Total: 5.47, Push: 1.40, Pull: 3.11, Adapter: 0.001, Wd: 0.12
Total: 5.47, Push: 1.40, Pull: 3.10, Adapter: 0.001, Wd: 0.12
Total: 5.46, Push: 1.40, Pull: 3.10, Adapter: 0.001, Wd: 0.12
Total: 5.46, Push: 1.40, Pull: 3.10, Adapter: 0.001, Wd: 0.12
Total: 5.45, Push: 1.40, Pull: 3.10, Adapter: 0.001, Wd: 0.12
Total: 5.45, Push: 1.40, Pull: 3.09, Adapter: 0.001, Wd: 0.12
Total: 5.44, Push: 1.40, Pull: 3.09, Adapter: 0.001, Wd: 0.12
Total: 5.44, Push: 1.40, Pull: 3.09, Adapter: 0.001, Wd: 0.12
Total: 5.43, Push: 1.40, Pull: 3.09, Adapter: 0.001, Wd: 0.12
Total: 5.43, Push: 1.41, Pull: 3.08, Adapter: 0.001, Wd: 0.12
Total: 5.42, Push: 1.41, Pull: 3.08, Adapter: 0.001, Wd: 0.12
Total: 5.42, Push: 1.41, Pull: 3.08, Adapter: 0.001, Wd: 0.12
Total: 5.41, Push: 1.41, Pull: 3.08, Adapter: 0.001, Wd: 0.12
Total: 5.41, Push: 1.41, Pull: 3.08, Adapter: 0.001, Wd: 0.12
Total: 5.41, Push: 1.41, Pull: 3.07, Adapter: 0.001, Wd: 0.12
Total: 5.40, Push: 1.41, Pull: 3.07, Adapter: 0.001, Wd: 0.12
Total: 5.40, Push: 1.41, Pull: 3.07, Adapter: 0.001, Wd: 0.12
Total: 5.39, Push: 1.41, Pull: 3.07, Adapter: 0.001, Wd: 0.12
Total: 5.39, Push: 1.41, Pull: 3.06, Adapter: 0.001, Wd: 0.12
Total: 5.39, Push: 1.41, Pull: 3.06, Adapter: 0.001, Wd: 0.12
Total: 5.38, Push: 1.41, Pull: 3.06, Adapter: 0.001, Wd: 0.12
Total: 5.38, Push: 1.42, Pull: 3.06, Adapter: 0.001, Wd: 0.12
